Title,Authors,Year,DOI,Journal,Category,Citations,Open Access,PDF Path,Abstract
Radiometric Partial Discharge Detection: A Review,"Sinda Kaziz, Mohamed Hadj Saïd, Antonino Imburgia et al.",2023,https://doi.org/10.3390/en16041978,Energies,Circuit,46,1,,
Self-sensing intelligent microrobots for noninvasive and wireless monitoring systems,"Zhongyi Li, Kun Wang, Chaojian Hou et al.",2023,https://doi.org/10.1038/s41378-023-00574-4,Microsystems & Nanoengineering,Circuit,39,1,,
EMI challenges in modern power electronic-based converters: recent advances and mitigation techniques,"Liang Yuan, Jian Zhang, Liang Zheng et al.",2023,https://doi.org/10.3389/felec.2023.1274258,Frontiers in Electronics,Circuit,30,1,,
Identification of Compact Equivalent Circuit Model for Metamaterial Structures,"C. H. Joseph, Davide Mencarelli, Luca Pierantoni et al.",2023,https://doi.org/10.1109/tap.2023.3276441,IEEE Transactions on Antennas and Propagation,Circuit,9,1,,
Runaway electron mitigation with pulsed localized vertical magnetic field perturbation in ADITYA tokamak,"R.L. Tanna, Sharvil Patel, Joydeep Ghosh et al.",2023,https://doi.org/10.1088/1741-4326/acdc3a,Nuclear Fusion,Circuit,4,1,,
Research on Artificial-Intelligence-Assisted Medicine: A Survey on Medical Artificial Intelligence,"Fangfang Gou, Jun Liu, Chunwen Xiao et al.",2024,https://doi.org/10.3390/diagnostics14141472,Diagnostics,Computing,83,1,,
Efficient training sets for surrogate models of tokamak turbulence with Active Deep Ensembles,"Lorenzo Zanisi, A. Ho, Justinn Barr et al.",2024,https://doi.org/10.1088/1741-4326/ad240d,Nuclear Fusion,Computing,13,1,,
Enhancing Precision in Cardiac Segmentation for Magnetic Resonance-Guided Radiation Therapy Through Deep Learning,"Nicholas Summerfield, Eric Morris, Soumyanil Banerjee et al.",2024,https://doi.org/10.1016/j.ijrobp.2024.05.013,International Journal of Radiation Oncology*Biology*Physics,Computing,12,1,,
A physics-constrained deep learning surrogate model of the runaway electron avalanche growth rate,"Jonathan S. Arnaud, Tyler Mark, Christopher J. McDevitt",2024,https://doi.org/10.1017/s0022377824000679,Journal of Plasma Physics,Computing,6,1,,
Review of multi-fidelity models,M. Giselle Fernández-Godino,2023,https://doi.org/10.3934/acse.2023015,Advances in Computational Science and Engineering,Computing,105,1,,
Machine learning in solar physics,"A. Asensio Ramos, Mark C. M. Cheung, Iulia Chifu et al.",2023,https://doi.org/10.1007/s41116-023-00038-x,Living Reviews in Solar Physics,Computing,60,1,,
FAULT-TOLERANT SELT-TIMED COUNTERS,"A. A. Zatsarinny, Yuriy Stepchenkov, Yuriy Diachenko et al.",2023,https://doi.org/10.29003/m3614.mmmsec-2023/167-170,?,Computing,41,1,,
Fast dynamic 1D simulation of divertor plasmas with neural PDE surrogates,"Yoeri Poels, Gijs Derks, E. Westerhof et al.",2023,https://doi.org/10.1088/1741-4326/acf70d,Nuclear Fusion,Computing,19,1,,
Ultra-fast single-crystal CVD diamonds in the particle time-of-flight (PTOF) detector for low yield burn-history measurements on the NIF (invited),"B. L. Reichelt, R. Kishimori, Y. Lawrence et al.",2025,https://doi.org/10.1063/5.0219374,Review of Scientific Instruments,Diagnostics,2,1,,
Achievement of Target Gain Larger than Unity in an Inertial Fusion Experiment,"H. Abu-Shawareb, Robert L. Acree, P. A. Adams et al.",2024,https://doi.org/10.1103/physrevlett.132.065102,Physical Review Letters,Diagnostics,338,1,,
Instabilities and Mixing in Inertial Confinement Fusion,"Ye Zhou, James Sadler, O. A. Hurricane",2024,https://doi.org/10.1146/annurev-fluid-022824-110008,Annual Review of Fluid Mechanics,Diagnostics,135,1,,
Unpacking the packaged optical fiber bio-sensors: understanding the obstacle for biomedical application,"Aidana Bissen, Nigara Yunussova, Zhuldyz Myrkhiyeva et al.",2024,https://doi.org/10.3389/fbioe.2024.1401613,Frontiers in Bioengineering and Biotechnology,Diagnostics,12,1,,
Thomson scattering diagnostics at the Globus-M2 tokamak,"N. S. Zhiltsov, Г. С. Курскиев, S.Yu. Tolstyakov et al.",2024,https://doi.org/10.1016/j.fusengdes.2024.114753,Fusion Engineering and Design,Diagnostics,12,0,,
"Elevated Electron Temperature Coincident with Observed Fusion Reactions in a Sheared-Flow-Stabilized <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>Z</mml:mi></mml:math> Pinch","B. Levitt, C. Goyon, Jacob Banasek et al.",2024,https://doi.org/10.1103/physrevlett.132.155101,Physical Review Letters,Diagnostics,9,1,,
Diagnosing up-scattered deuterium–tritium fusion neutrons produced in burning plasmas at the National Ignition Facility (invited),"J. Jeet, Brian Appelbe, Aidan Crilly et al.",2024,https://doi.org/10.1063/5.0219671,Review of Scientific Instruments,Diagnostics,6,1,,
An incoherent Thomson scattering system for measurements near plasma boundaries,"Jean Luis Suazo Betancourt, Julian Lopez-Uricoechea, Naia Butler-Craig et al.",2024,https://doi.org/10.1063/5.0184358,Review of Scientific Instruments,Diagnostics,5,1,,
Characterization of Nanohybridosomes from Lipids and Spruce Homogenate Containing Extracellular Vesicles,"Vesna Spasovski, Anna Romolo, Urška Zagorc et al.",2024,https://doi.org/10.2147/ijn.s432836,International Journal of Nanomedicine,Diagnostics,4,1,,
Spatially resolved laser Thomson scattering measurements in a negative glow and cathode presheath to investigate a 1D sheath model,"Julian Lopez-Uricoechea, Jean Luis Suazo Betancourt, Naia Butler-Craig et al.",2024,https://doi.org/10.1063/5.0182756,Physics of Plasmas,Diagnostics,4,1,,
ITER Core Plasma Thomson Scattering diagnostic design,"M. Amarika, G. Beaskoetxea, Gaizka Murga et al.",2024,https://doi.org/10.1016/j.fusengdes.2024.114416,Fusion Engineering and Design,Diagnostics,3,0,,
A chlorine based detector (LaCl<sub>3</sub>(Ce)) for 2.5 MeV neutron spectroscopy in deuterium nuclear fusion plasmas with enhanced particle discrimination algorithm,"D. Rigamonti, G. Guarino, F. Camera et al.",2024,https://doi.org/10.1088/1361-6501/ad8f4e,Measurement Science and Technology,Diagnostics,2,1,,
Physics principles of inertial confinement fusion and U.S. program overview,"O. A. Hurricane, P. K. Patel, R. Betti et al.",2023,https://doi.org/10.1103/revmodphys.95.025005,Reviews of Modern Physics,Diagnostics,169,1,,
Fiber Optic Sensors for Harsh and High Radiation Environments in Aerospace Applications,"Alberto Rovera, Alexandru Tancau, Nadia G. Boetti et al.",2023,https://doi.org/10.3390/s23052512,Sensors,Diagnostics,95,1,,
Observation of plasma inflows in laser-produced Sn plasma and their contribution to extreme-ultraviolet light output enhancement,"Kentaro Tomita, Yiming Pan, Atsushi Sunahara et al.",2023,https://doi.org/10.1038/s41598-023-28500-8,Scientific Reports,Diagnostics,15,1,,
Electron density and temperature in a diffuse nanosecond pulse discharge in air at atmospheric pressure,"Alexandra Brisset, T Guenin, Pierre Tardiveau et al.",2023,https://doi.org/10.1088/1361-6595/acdd96,Plasma Sources Science and Technology,Diagnostics,12,1,,
Reduced physics model of the tokamak Scrape-Off-Layer for pulse design,"X. Zhang, F. M. Poli, Eric Emdee et al.",2023,https://doi.org/10.1016/j.nme.2022.101354,Nuclear Materials and Energy,Diagnostics,10,1,,
Development of prototype real-time Thomson scattering diagnostic in KSTAR,"Jongha Lee, Seung Ju Lee, Ha Jin Kim et al.",2023,https://doi.org/10.1016/j.fusengdes.2023.113532,Fusion Engineering and Design,Diagnostics,5,1,,
Filamentary-like structures of plasma in a small 3-kJ dense plasma-focus discharge in pure deuterium,"P. Kubeš, Ł. Marciniak, Marek J. Sadowski et al.",2023,https://doi.org/10.1063/5.0148405,Physics of Plasmas,Diagnostics,4,1,,
Deuterium–deuterium fusion in nanowire plasma driven with a nanosecond high-energy laser,"Xiaofeng Xi, Chong Lv, Wenjun Ma et al.",2023,https://doi.org/10.3389/fphy.2023.1212293,Frontiers in Physics,Diagnostics,4,1,,
"Summary report of the 4th IAEA Technical Meeting on Fusion Data Processing, Validation and Analysis (FDPVA)","S.M. González de Vicente, D. Mazon, Ming Xu et al.",2023,https://doi.org/10.1088/1741-4326/acbfce,Nuclear Fusion,Diagnostics,3,1,,
Modeling of a spatially resolved ion temperature diagnostic for inertial confinement fusion,"C. R. Danly, N. Birge, V. Geppert-Kleinrath et al.",2023,https://doi.org/10.1063/5.0101892,Review of Scientific Instruments,Diagnostics,2,1,,
"Silver Nanoparticles: Synthesis, Structure, Properties and Applications","Rimsha Abbas, Jingjing Luo, Qi Xue et al.",2024,https://doi.org/10.3390/nano14171425,Nanomaterials,Electrodes,161,1,,
Titanium nitride (TiN) as a promising alternative to plasmonic metals: a comprehensive review of synthesis and applications,"Ujjwal Mukund Mahajan, Mahesh Dhonde, Kirti Sahu et al.",2024,https://doi.org/10.1039/d3ma00965c,Materials Advances,Electrodes,101,1,,
"A review on nanoparticles: characteristics, synthesis, applications, and challenges",Khadijah A. Altammar,2023,https://doi.org/10.3389/fmicb.2023.1155622,Frontiers in Microbiology,Electrodes,787,1,,
Biomedical Applications of Titanium Alloys: A Comprehensive Review,"Elia Marin, Alex Lanzutti",2023,https://doi.org/10.3390/ma17010114,Materials,Electrodes,317,1,,
"Microneedles: materials, fabrication, and biomedical applications","Xiaojin Luo, Li Yang, Yue Cui",2023,https://doi.org/10.1007/s10544-023-00658-y,Biomedical Microdevices,Electrodes,170,1,,
Advancements in Nanoparticle Deposition Techniques for Diverse Substrates: A Review,"Daniel Escorcia-Díaz, Sebastián García-Mora, Leidy Rendón-Castrillón et al.",2023,https://doi.org/10.3390/nano13182586,Nanomaterials,Electrodes,84,1,,
"Review of Ceramic Composites in Aeronautics and Aerospace: A Multifunctional Approach for TPS, TBC and DBD Applications","Kateryna O. Shvydyuk, J. Nunes‐Pereira, Frederico Rodrigues et al.",2023,https://doi.org/10.3390/ceramics6010012,Ceramics,Electrodes,63,1,,
"Affordable, manageable, practical, and scalable (AMPS) high-yield and high-gain inertial fusion","A. B. Alexander, L. R. Benedetti, Indrani Bhattacharyya et al.",2025,https://doi.org/10.1063/5.0273277,Physics of Plasmas,Instability,9,1,,
Assessing the performance of MagLIF with 3D MHD simulations,"Matthew Weis, D. E. Ruiz, M. R. Gómez et al.",2025,https://doi.org/10.1063/5.0244304,Physics of Plasmas,Instability,7,1,,
Saturation of Fishbone Instability by Self-Generated Zonal Flows in Tokamak Plasmas,"G. Brochard, Chang Liu, Xishuo Wei et al.",2024,https://doi.org/10.1103/physrevlett.132.075101,Physical Review Letters,Instability,42,1,,
Stable Deuterium-Tritium plasmas with improved confinement in the presence of energetic-ion instabilities,"J. García, Y. Kazakov, R. Coelho et al.",2024,https://doi.org/10.1038/s41467-024-52182-z,Nature Communications,Instability,32,1,,
Targeting integrin pathways: mechanisms and advances in therapy,"Xiaocong Pang, He Xu, Zhiwei Qiu et al.",2023,https://doi.org/10.1038/s41392-022-01259-6,Signal Transduction and Targeted Therapy,Instability,1085,1,,
Ferroelectricity in hafnia controlled via surface electrochemical state,"Kyle P. Kelley, Anna N. Morozovska, Eugene А. Eliseev et al.",2023,https://doi.org/10.1038/s41563-023-01619-9,Nature Materials,Instability,67,1,,
Supernova simulations confront SN 1987A neutrinos,"Damiano F. G. Fiorillo, Malte Heinlein, Hans‐Thomas Janka et al.",2023,https://doi.org/10.1103/physrevd.108.083040,Physical review. D/Physical review. D.,Instability,60,1,,
Three dimensional magnetorotational core-collapse supernova explosions of a 39 solar mass progenitor star,"J. Powell, Bernhard Müller, David R. Aguilera-Dena et al.",2023,https://doi.org/10.1093/mnras/stad1292,Monthly Notices of the Royal Astronomical Society,Instability,44,1,,
Disruption event characterization and forecasting in tokamaks,"S.A. Sabbagh, J.W. Berkery, Y.S. Park et al.",2023,https://doi.org/10.1063/5.0133825,Physics of Plasmas,Instability,40,1,,
Exploring the parameter space of MagLIF implosions using similarity scaling. II. Current scaling,"D. E. Ruiz, Paul Schmit, David Yager-Elorriaga et al.",2023,https://doi.org/10.1063/5.0126699,Physics of Plasmas,Instability,33,1,,
EUTERPE: A global gyrokinetic code for stellarator geometry,"R. Kleiber, M. Borchardt, R. Hatzky et al.",2023,https://doi.org/10.1016/j.cpc.2023.109013,Computer Physics Communications,Instability,21,1,,
The Zap Energy approach to commercial fusion,"B. Levitt, Eric Meier, R. Umstattd et al.",2023,https://doi.org/10.1063/5.0163361,Physics of Plasmas,Instability,18,1,,
Hall interchange instability as a seed for helical magneto-Rayleigh–Taylor instabilities in magnetized liner inertial fusion Z-Pinches scaled from Z-Machine parameters to a next generation pulsed power facility,"J. M. Woolstrum, D. E. Ruiz, Nathaniel Hamlin et al.",2023,https://doi.org/10.1063/5.0156806,Physics of Plasmas,Instability,11,1,,
Plasma flows during the ablation stage of an over-massed pulsed-power-driven exploding planar wire array,"R. Datta, J. Angel, J. B. Greenly et al.",2023,https://doi.org/10.1063/5.0160893,Physics of Plasmas,Instability,6,1,,
Performance-portable Binary Neutron Star Mergers with AthenaK,"Jacob Fields, Hengrui Zhu, David Radice et al.",2025,https://doi.org/10.3847/1538-4365/ad9687,The Astrophysical Journal Supplement Series,MHD Numerics,10,1,,
GR-Athena++: General-relativistic Magnetohydrodynamics Simulations of Neutron Star Spacetimes,"William R. Cook, Boris Daszuta, Jacob Fields et al.",2025,https://doi.org/10.3847/1538-4365/ad87d4,The Astrophysical Journal Supplement Series,MHD Numerics,9,1,,
Numerical investigation of Richtmyer–Meshkov instability in shock-driven light square bubble via magnetohydrodynamics,"Sheng-Bo Zhang, Satyvir Singh, Manuel Torrilhon et al.",2025,https://doi.org/10.1016/j.compfluid.2025.106698,Computers & Fluids,MHD Numerics,4,1,,
"DISPATCH methods: An approximate, entropy-based Riemann solver for ideal magnetohydrodynamics",Popovas Andrius,2025,https://doi.org/10.1051/0004-6361/202554028,Astronomy and Astrophysics,MHD Numerics,1,1,,
A Provably Positive-Preserving HLLD Riemann Solver for Ideal Magnetohydrodynamics. Part I: The One-Dimensional Case,"X Zhang, Xun Wang, Zhijun Shen null et al.",2025,https://doi.org/10.4208/cicp.oa-2024-0068,Communications in Computational Physics,MHD Numerics,0,0,,
A Well-Balanced Semi-implicit IMEX Finite Volume Scheme for Ideal Magnetohydrodynamics at All Mach Numbers,"Claudius Birke, Walter Boscheri, Christian Klingenberg",2024,https://doi.org/10.1007/s10915-023-02422-z,Journal of Scientific Computing,MHD Numerics,8,1,,
Cholla-MHD: An Exascale-capable Magnetohydrodynamic Extension to theCholla Astrophysical Simulation Code,"Robert V. Caddy, Evan E. Schneider",2024,https://doi.org/10.3847/1538-4357/ad464a,The Astrophysical Journal,MHD Numerics,6,1,,
A high-fidelity finite volume scheme for ideal magnetohydrodynamics equations using boundary variation diminishing algorithm,"Chenxi Pan, Sheng Song, Chungang Chen et al.",2024,https://doi.org/10.1063/5.0237231,Physics of Fluids,MHD Numerics,2,0,,
A High-Fidelity Finite Volume Scheme for Ideal Magnetohydrodynamics Equations Using Boundary Variation Diminishing Algorithm,"Chenxi Pan, Sheng Song, Chungang Chen et al.",2024,https://doi.org/10.2139/ssrn.4820052,SSRN Electronic Journal,MHD Numerics,1,1,,
Cholla-MHD: An Exascale-Capable Magnetohydrodynamic Extension to the Cholla Astrophysical Simulation Code,"Robert V. Caddy, Evan E. Schneider",2024,https://doi.org/10.48550/arxiv.2402.05240,arXiv (Cornell University),MHD Numerics,1,1,,
MPI-AMRVAC 3.0: Updates to an open-source simulation framework,"Rony Keppens, B. Popescu Braileanu, Y. Zhou et al.",2023,https://doi.org/10.1051/0004-6361/202245359,Astronomy and Astrophysics,MHD Numerics,97,1,,
IDEFIX: A versatile performance-portable Godunov code for astrophysical flows,"Geoffroy Lesur, S. Baghdadi, Gaylor Wafflard-Fernandez et al.",2023,https://doi.org/10.1051/0004-6361/202346005,Astronomy and Astrophysics,MHD Numerics,26,1,,
Pressure anisotropy and viscous heating in weakly collisional plasma turbulence,"Jonathan Squire, Matthew W. Kunz, Lev Arzamasskiy et al.",2023,https://doi.org/10.1017/s0022377823000727,Journal of Plasma Physics,MHD Numerics,24,1,,
A 4th-order accurate finite volume method for ideal classical and special relativistic MHD based on pointwise reconstructions,"Vittoria Berta, A. Mignone, Matteo Bugli et al.",2023,https://doi.org/10.1016/j.jcp.2023.112701,Journal of Computational Physics,MHD Numerics,20,1,,
Curl Constraint-Preserving Reconstruction and the Guidance it Gives for Mimetic Scheme Design,"Dinshaw S. Balsara, Roger Käppeli, Walter Boscheri et al.",2023,https://doi.org/10.1007/s42967-021-00160-3,Institutional Research Information System University of Ferrara (University of Ferrara),MHD Numerics,16,1,,
High order asymptotic preserving finite difference WENO schemes with constrained transport for MHD equations in all sonic Mach numbers,"Wei Chen, Kailiang Wu, Tao Xiong",2023,https://doi.org/10.1016/j.jcp.2023.112240,Journal of Computational Physics,MHD Numerics,12,0,,
HOW-MHD: A High-order WENO-based Magnetohydrodynamic Code with a High-order Constrained Transport Algorithm for Astrophysical Applications,"Jeongbhin Seo, Dongsu Ryu",2023,https://doi.org/10.3847/1538-4357/acdf4b,The Astrophysical Journal,MHD Numerics,10,1,,
Suppression mechanism of Richtmyer–Meshkov instability by transverse magnetic field with different strengths,"Sheng-Bo Zhang, Huanhao Zhang, Zhihua Chen et al.",2023,https://doi.org/10.1063/5.0130813,Physics of Plasmas,MHD Numerics,6,0,,
GR-Athena++: General-relativistic magnetohydrodynamics simulations of neutron star spacetimes,"William M. Cook, Boris Daszuta, Jacob Fields et al.",2023,https://doi.org/10.48550/arxiv.2311.04989,arXiv (Cornell University),MHD Numerics,5,1,,
"A decoupled, unconditionally energy-stable and conservative finite element algorithm for a constrained transport model of the incompressible MHD equations","Xianzhu Li, Haiyan Su, Xiaodi Zhang",2023,https://doi.org/10.1016/j.aml.2023.108905,Applied Mathematics Letters,MHD Numerics,3,0,,
High Order Asymptotic Preserving Finite Difference Weno Schemes with Constrained Transport for Mhd Equations in All Sonic Mach Numbers,"Wei Chen, Kailiang Wu, Tao Xiong",2023,https://doi.org/10.2139/ssrn.4353563,SSRN Electronic Journal,MHD Numerics,2,1,,
Self-consistent equilibrium and transport simulations for NSTX-U plasmas enhanced via machine learning surrogate models,"Brian Leard, Tariq Rafiq, I. M. Ward et al.",2025,https://doi.org/10.1016/j.fusengdes.2025.115201,Fusion Engineering and Design,ML/AI,2,1,,
Avoiding fusion plasma tearing instability with deep reinforcement learning,"Jaemin Seo, S.K. Kim, Azarakhsh Jalalvand et al.",2024,https://doi.org/10.1038/s41586-024-07024-9,Nature,ML/AI,114,1,,
Synthetic Lagrangian turbulence by generative diffusion models,"Tao Li, Luca Biferale, Fabio Bonaccorso et al.",2024,https://doi.org/10.1038/s42256-024-00810-0,Nature Machine Intelligence,ML/AI,44,1,,
Recent Advances on Machine Learning for Computational Fluid Dynamics: A Survey,"Haixin Wang, Yadi Cao, Zijie Huang et al.",2024,https://doi.org/10.48550/arxiv.2408.12171,arXiv (Cornell University),ML/AI,29,1,,
Data-driven models in fusion exhaust: AI methods and perspectives,"S. Wiesen, Stefan Dasbach, A. Kit et al.",2024,https://doi.org/10.1088/1741-4326/ad5a1d,Nuclear Fusion,ML/AI,17,1,,
Gaussian process regression models for the properties of micro-tearing modes in spherical tokamaks,"W. A. Hornsby, Ander Gray, John L. Buchanan et al.",2024,https://doi.org/10.1063/5.0174478,Physics of Plasmas,ML/AI,14,1,,
Grad–Shafranov equilibria via data-free physics informed neural networks,"Byoungchan Jang, Alan A. Kaptanoglu, Rahul Gaur et al.",2024,https://doi.org/10.1063/5.0188634,Physics of Plasmas,ML/AI,7,1,,
Synthesizing Particle-In-Cell Simulations through Learning and GPU Computing for Hybrid Particle Accelerator Beamlines,"Ryan Sandberg, Remi Lehé, Chad Mitchell et al.",2024,https://doi.org/10.1145/3659914.3659937,?,ML/AI,5,1,,
Influence of magnetic field on MHD mixed convection in lid-driven cavity with heated wavy bottom surface,"Mst. Umme Mahmuda Maya, Md. Nur Alam, Ahmed Refaie Ali",2023,https://doi.org/10.1038/s41598-023-45707-x,Scientific Reports,ML/AI,52,1,,
Learning sparse nonlinear dynamics via mixed-integer optimization,"Dimitris Bertsimas, Wes Gurnee",2023,https://doi.org/10.1007/s11071-022-08178-9,Nonlinear Dynamics,ML/AI,46,1,,
Towards fast surrogate models for interpolation of tokamak edge plasmas,"Stefan Dasbach, S. Wiesen",2023,https://doi.org/10.1016/j.nme.2023.101396,Nuclear Materials and Energy,ML/AI,27,1,,
On the potential of physics-informed neural networks to solve inverse problems in tokamaks,"Riccardo Rossi, M. Gelfusa, A. Murari et al.",2023,https://doi.org/10.1088/1741-4326/ad067c,Nuclear Fusion,ML/AI,26,1,,
Modelling solar coronal magnetic fields with physics-informed neural networks,"Hubert Baty, Vincent Vigon",2023,https://doi.org/10.1093/mnras/stad3320,Monthly Notices of the Royal Astronomical Society,ML/AI,12,1,,
Physics-separating artificial neural networks for predicting initial stages of Al sputtering and thin film deposition in Ar plasma discharges,"Tobias Gergs, Thomas Mussenbrock, Jan Trieschmann",2023,https://doi.org/10.1088/1361-6463/acb6a4,Journal of Physics D Applied Physics,ML/AI,11,1,,
"The scoping, design, and plasma physics optimization of the Eos neutron source stellarator","Charles Swanson, D. Gates, S. T. A. Kumar et al.",2025,https://doi.org/10.1088/1741-4326/ada56a,Nuclear Fusion,Nuclear,7,1,,
"Status of DONES neutronics, source terms analyses and radiation protections","Yuefeng Qiu, T. Berry, Klemen Ambrožič et al.",2025,https://doi.org/10.1088/1741-4326/addeda,Nuclear Fusion,Nuclear,3,1,,
Overview of T and D–T results in JET with ITER-like wall,"Domenico Abate, N. Abid, P. Abreu et al.",2024,https://doi.org/10.1088/1741-4326/ad3e16,Nuclear Fusion,Nuclear,83,1,,
On the upper bound of non-thermal fusion reactivity with fixed total energy,"Huasheng Xie, Xueyun Wang",2024,https://doi.org/10.1088/1361-6587/ad3f4b,Plasma Physics and Controlled Fusion,Nuclear,9,1,,
"From KMS Fusion to HB11 Energy and Xcimer Energy, a personal 50 year IFE perspective",T. A. Mehlhorn,2024,https://doi.org/10.1063/5.0170661,Physics of Plasmas,Nuclear,8,1,,
Proton–boron fusion in a hydrogen-doped-boron target,"Z. Li, Zhao Wang, Guanchao Zhao et al.",2024,https://doi.org/10.1017/lpb.2024.2,Laser and Particle Beams,Nuclear,6,1,,
Study of the production of radioisotopes at IFMIF-DONES: 177Lu with deuterons,"E. López-Melero, F. García-Infantes, F. Arias de Saavedra et al.",2024,https://doi.org/10.1016/j.radphyschem.2024.111687,Radiation Physics and Chemistry,Nuclear,5,1,,
"Fusion enhancement in the collisions with <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Ca</mml:mi><mml:mprescripts/><mml:none/><mml:mn>44</mml:mn></mml:mmultiscripts></mml:math> beams and the production of neutron-deficient <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Lr</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>245</mml:mn><mml:mo>–</mml:mo><mml:mn>250</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> isotopes","Li‐Lin Zhou, Jun-Jun Cai, Lu-Qi Li et al.",2024,https://doi.org/10.1103/physrevc.109.024606,Physical review. C,Nuclear,5,0,,
Towards p-11B medium configurations with high Pfus/PBrems ratios,"C. Daponta, S. Moustaizis, S. Eliezer et al.",2024,https://doi.org/10.3389/fphy.2024.1425963,Frontiers in Physics,Nuclear,1,1,,
Recent improvements of the particle and heavy ion transport code system – PHITS version 3.33,"Tatsuhiko Sato, Yosuke Iwamoto, Shintaro Hashimoto et al.",2023,https://doi.org/10.1080/00223131.2023.2275736,Journal of Nuclear Science and Technology,Nuclear,312,1,,
JET D-T scenario with optimized non-thermal fusion,"M. Maslov, E. Lerche, F. Auriemma et al.",2023,https://doi.org/10.1088/1741-4326/ace2d8,Nuclear Fusion,Nuclear,76,1,,
First measurements of p11B fusion in a magnetically confined plasma,"Richard Magee, K. Ogawa, T. Tajima et al.",2023,https://doi.org/10.1038/s41467-023-36655-1,Nature Communications,Nuclear,65,1,,
HB11—Understanding Hydrogen-Boron Fusion as a New Clean Energy Source,"Warren McKenzie, D. Batani, T. A. Mehlhorn et al.",2023,https://doi.org/10.1007/s10894-023-00349-9,Journal of Fusion Energy,Nuclear,32,1,,
