ID,Category,Title,Authors,Year,DOI,ArXiv,Abstract,Page Count,Methods,Domain Tags
14,01-Core-DPF,Faeton-I: Investigation of plasma dynamics and,,2025,10.21203/rs.3.rs-6466595/v1,,"Faeton-I (F-I) is the highest direct-charged voltage plasma focus (PF), at 100 kV, 1 MA peak current. F-I produces consistent2.5×1010D-D neutrons/shot, over 3 MeV X-rays and ∼350keV deuterons, demonstrating unique combined neutron-gammaenvironment. Its peak neutron yield was recorded at 8×1010neutrons/shot at 12 torr deuterium. The overall best peakdynamics-induced pinch voltage of the F-I was measured at 194 kV. A major difﬁculty anticipated for PF operation athigh-voltage and high-current",15,experimental,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; electrode_materials
41,01-Core-DPF,Measurement of electric flux emission: a new diagnostic for the dense plasma focus,A B Blagoev,2025,10.1088/1402-4896/adfd1f,,"Thispaperpresentsanoveldiagnostic technique forinvestigating thesymmetry oftheplasmaformation processintheDensePlasmaFocus (DPF)device.TheDPF,ascalablelaboratory plasmadevicedeveloped inthe1960s,hasbeenextensively studiedwithvariousgasfillsandconsidered forabroadrangeofapplications—including commercial fusionenergy,short-lived radioisotopeproduction formedicalimagingandbrachytherapy, nano-scale industrial coatings,anddeep-spacepropulsion. However, achieving reliableandreproducible operation",9,experimental; machine_learning; simulation,dense_plasma_focus; plasma_physics; nuclear_fusion; electrode_materials; turbulence
42,01-Core-DPF,Neutron generation dynamics inside a MA-class dense plasma focus Z-pinch,,2025,10.1063/5.0253547,,"Dense plasma focii (DPFs) are appealing as energy efficient sources of short pulses of ions, neutrons, and x rays. The output of these sourcesis expected to scale with input current ( I4), but has been shown to drop at the MA level [S. K. H. Auluck, “On the failure of neutron yieldscaling in the dense plasma focus, ”Phys. Plasmas 30, 080701 (2023)]. New results on the MegaJOuLe Neutron Imaging Radiography DPFshowed neutron yield production in agreement with the input current scaling beyond th",10,experimental; simulation; machine_learning,dense_plasma_focus; z_pinch; mhd; plasma_physics; nuclear_fusion; pulsed_power; electrode_materials; particle_methods
15,01-Core-DPF,Nitrogen ion irradiation of carbon thin films using a dense plasma focus: enhanced doping and structural modifications,H. P. Wante,2025,10.1140/epjp/s13360-025-06761-8,,"Activated carbons (ACs) are widely used in supercapacitors and batteries due to their high surface area, well-developedporosity, cost-effectiveness, and scalability, making them ideal for commercial energy storage applications. In this study, carbonderived from coconut shells was processed into a thin ﬁlm on a nickel substrate, synthesized via doctor blade deposition, andsubjected to nitrogen ion beam irradiation (6, 12, and 24 shots) using a 3.0 kJ dense plasma focus (PF) device, operated at 2",16,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; electrode_materials
16,01-Core-DPF,Plasma Physics and Technology,,2025,10.14311/ppt.2025.1.1,,"In this paper, plasma emissions (radiative recombination, bremsstrahlung, and lineradiation) from a mega-joule plasma focus (PF1000) device is studied using the Lee code for nitrogen(N2), oxygen (O 2) and argon (Ar) gases with pressure variation in the range of (0.05–2.5)Torr. Iondensity, plasma velocity, pinch temperature, Joule heating, peak current, and minimum pinch radiusare also obtained with pressure change for each of the gases. It is found that the line radiation ispredominant comp",9,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; pulsed_power; electrode_materials
17,01-Core-DPF,稠密等离子体焦点运动过程的理论和数值研究*,SoWise,2025,10.7498/aps.74.20250040,,"1 引 言稠密等离子体焦点(DPF)装置是一种快脉冲(μs量级)、大电流(数百kA到数MA)的等离子体放电装置, 能够以简单高效的放电形式产生高温(~107 K)、高速(105—106 m/s)和高密度(1023—1026 m–3)的等离子体[1,2]. 稠密等离子体焦点不仅可用于工业和科技领域中改善材料表面、制备纳米材料[3–10], 还可作为关键装置应用于国防领域, 例如粒子加速器[11]、空间推进[12,13]、脉冲中子源[14,15]等.DPF最早是20世纪60年代由苏联的Fillpov[1]和美国的Mather[2]独立提出的. 基于探索受控核聚变的需求, 70—90年代欧洲和美国建立了一系列大型MA量级的DPF装置, 如美国的DPF-6装置[16]、法国的Liemeil装置[17]、德国的POSEIDON[18]和SPEED装置[19]、意大利的Frascati装置[20]、波兰的PF-1000装置[21]等, 其D-D中子产额均达到了1011—1012/脉冲(D-T中子产额超过1013/脉冲).近年来, 在国防尖端领域的需求牵引下, 美",10,,dense_plasma_focus; z_pinch; mhd; plasma_physics
8,01-Core-DPF,Journal of Applied Research and Technology,Yolanda G.G.,2024,,,"The fluence of a deuteron beam emitted from three dense plasma focus (DPF) devices, PF -1000, MPEF -12 kJ and PF -2.7 kJ, versus deuterium gas pressure was simulated and studied using the adapted Lee model code (RADPFV6.16FIB). The computed fluences were then compared to the reported measured values of these devices at certain distances from the pinch, where the comparison showed good agreement including within the range of errors. Furthermore, many numerical experiments using the Lee code",12,experimental; simulation,dense_plasma_focus; plasma_physics; nuclear_fusion; electrode_materials
9,01-Core-DPF,NUMERICAL MODELING OF LIQUID WALL FLOWS FOR FUSION,,2024,,,"During the Z-Pinch fusion process, electric current is injected into liquid metal from the plasmacolumn, generating Lorentz forces that deform the liquid metal’s free surface. Modeling this phe-nomenon is essential for assessing the feasibility of using liquid metal as an electrode wall in fusiondevices. Traditionally, such problems, where liquid metal is exposed to electromagnetic forces, aremodeled using magneto-hydrodynamic (MHD) formulation, which is more suitable for cases withoutexter",30,analytical; machine_learning; experimental; simulation,dense_plasma_focus; z_pinch; mhd; plasma_physics; nuclear_fusion; numerical_methods; electrode_materials
46,01-Core-DPF,Poloidal magnetic field in the dense plasma focus,S. K. H. Auluck,2024,10.1063/5.0189593,,,6,experimental; review,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; diagnostics
36,01-Core-DPF,"Received 29 March 2024, accepted 9 April 2024, date of publication 11 April 2024, date of current version 22 April 2024.",,2024,,,"Previous studies on discharge dynamics have primarily focused on the generation and migrationof the charged particles and neglecting the influence of neutral excited-state particles. In this study,an integrated approach combining experiment and simulation was used to investigate the effect of neutralexcited particles on discharge development. Firstly, partial discharge was induced by applying voltage to apin-plate electrode in a darkroom environment and the emission spectrum of discharge was",15,experimental; simulation; machine_learning,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; numerical_methods; electrode_materials
7,01-Core-DPF,SANDIA REPORT,,2024,,,,38,simulation; machine_learning,dense_plasma_focus; z_pinch; mhd; plasma_physics; radiation; particle_methods
47,01-Core-DPF,Simulations of nozzle gas flow and gas-puff Z-pinch implosions on the Weizmann Z-pinch,,2024,10.1063/5.0202237,,"We present simulations of an oxygen gas puff Z-pinch on a University scale generator at the Weizmann Institute of Science. The workaccounts for the detailed geometry of the nozzle, the initial neutral gas density distribution, and the subsequent implosion. The modelingresults show significant improvement with data for the current at the time of stagnation in comparison with a previous effort [Rosenzweiget al. , Phys. Plasmas 27, 022705 (2020)]. As a first step, we performed simulations of the",9,experimental; simulation; machine_learning,dense_plasma_focus; z_pinch; mhd; plasma_physics; radiation; diagnostics; electrode_materials; circuit_modeling
10,01-Core-DPF,Study of the plasma pinch and ion beam properties,PcMax,2024,10.21203/rs.3.rs-4002830/v1,,"This study presents the results of a series of numerical experiments that were carried out using Lee code in order to study the properties of plasma pinch versus nitrogen gas pressure and its effect on the number and energy of ion beams emitted from the two dense plasma focus devices PF400 and APF. The results showed that the number of nitrogen ions are 7.9 × 1013𝑖𝑜𝑛𝑠 (for PF400) and 3.82×1014𝑖𝑜𝑛𝑠 (for APF) , while the highest beam energy is 18 J for APF, due to the effect of the operatin",17,experimental,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; pulsed_power; electrode_materials
1,01-Core-DPF,CORRECTIONJournal of Fusion Energy (2023) 42:9,,2023,10.1007/s10894-023-00348-w,,"of this article unfortunately had a mis -print of the unit for highest nτT product. The corrected text should read “the highest nτT product of 3.4 × 10 20 keV-s/m3”. This has been corrected by publishing this correction article.The original version has been updated.Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, The online version of the original article can be found at https://doi.org/10.1007/s10894-023-00",1,,dense_plasma_focus; plasma_physics; nuclear_fusion
2,01-Core-DPF,Focus Fusion: Overview of Progress Towards p-B11 Fusion with the Dense Plasma Focus,Eric J. Lerner,2023,10.1007/s10894-023-00345-z,,"LPPFusion is developing a source of fusion energy using the dense plasma focus device and p-B11fuel, a combination wecall Focus Fusion. So far, this project has led to the achievement of the highest conﬁned ion energies of any fusionexperiment ( [200 keV) as well as, recently, the lowest impurities of any fusion plasma. Among privately-funded fusionefforts, our experiments have achieved the highest ratio of fusion energy generation to device energy input (wall-plugefﬁciency) and the highest n",18,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; diagnostics; pulsed_power; electrode_materials
4,01-Core-DPF,Investigation of optical properties and chemical structure of Nd2O3,,2023,10.21203/rs.3.rs-2946288/v1,,"In this study, nanoparticles of neodymium oxide were deposited on NaX zeolite powder using a 5.3 kJ Mather ‒ type plasma focus device.The NaX zeolite samples were exposed to the 10, 15, and 20 shot numbers of the plasma focus device at a distance of 14 cm from theanode tip and 0 angular positions with respect to the anode axis. Parent NaX zeolite and NaX:Nd composites with different Nd2O3 percentweights were characterized using different techniques such as; XRF, XRD, SEM, FT ‒ IR, and UV ‒ vi",12,experimental,dense_plasma_focus; plasma_physics; radiation; electrode_materials
5,01-Core-DPF,On the failure of neutron yield scaling in the Dense Plasma Focus,Avani Avanti,2023,,,Abstract: The observed sc aling of neutron yield in the Dense Plasma Focus (DPF) as the fourth power of the current in the plasma was the princ ipal driver of the growth of DPF research in its early days. Subsequent discovery of f ailure of this scaling law was also the principal reason for its abandonment by major laboratories. Attempts to understand this failure of scaling have so far been inconc lusive. This letter looks at this failure in the context of the recently introduced Genera,13,experimental,dense_plasma_focus; mhd; plasma_physics; nuclear_fusion; pulsed_power; physics_informed_ml
3,01-Core-DPF,S K H Auluck,,2023,,,"Space propulsion is unique among many proposed applications of the Dense Plasma Focus in being critically dependent on the availability of a scaling theory that is well -grounded in physics, in conformity with existing experimental knowledge and applicable to experimentally untested configurations. This paper derives such a first -principles -based scaling theory and illustrates its application to a novel space propulsion c oncept, where the plasma focus sheath is employed as a power densit",61,experimental; machine_learning; review,dense_plasma_focus; z_pinch; mhd; plasma_physics; nuclear_fusion; pulsed_power; electrode_materials
6,01-Core-DPF,SAND2023-05021C,,2023,,,"The Ar Lyβ line intensity is reduced by inner-shell photoionization in the cooler region 4L-shell regionni = 2.5×1019 cm-3Te = 110 eVΔr = 2.6 mm73% total massK-shell regionni = 6.7×1019cm-3Te = 2.45 keVØ2.8mm27% total masshotcore coolblanketexperimentTwo region modelAr Lyα/Heα2.00±20%1.54Ar Lyβ/Heβ0.85±20%0.91Ar Lyγ/Heγ1.20±20%1.32K-shell power (TW/cm)11.4±10%11.5Total power (TW/cm)16±20%16.0Mass (mg/cm)1±10%1.01Radial distance (mm)B. Jones, J.P. Apruzese et al. POP 22, 020706 (2015).Z Shot",13,experimental; simulation,dense_plasma_focus; z_pinch; mhd; plasma_physics; radiation
39,01-Core-DPF,Magnetic confinement of dense plasma inside and outside stellar coronae,"Waugh Rose F. P., Jardine Moira M.,",2022,10.1093/mnras/stac1698,,,13,experimental; machine_learning,dense_plasma_focus; plasma_physics; radiation
44,01-Core-DPF,Plasma and Terahertz-Wave Propagation Characteristics in Atmospheric-Pressure Plasma Jet Under Different Operating Conditions,,2022,10.1109/TAP.2023.3237284,,"High-density plasma source device is of great sig-nificance for ground experiment verification of vehicle reentrycommunication. Atmospheric-pressure plasma jet (APPJ), as ahigh-density plasma source, has received little attention in groundexperiments on vehicle communications. In this article, terahertz(THz)-wave propagation characteristics in APPJ are investigatedby joint simulation of APPJ discharge and THz transport modeland related experimental measurements. THz interferometer(THz-IF",9,experimental; simulation,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; diagnostics; electrode_materials
20,01-Core-DPF,Building a Sci-Fi Themed Dense Plasma Focus,,2021,,,,25,simulation,dense_plasma_focus; plasma_physics
51,01-Core-DPF,Comparison of measured and computed neutron yield from PF1000 plasma focus device operated with deuterium gas,Mohamad Akel,2021,10.1016/j.radphyschem.2021.109633,,The measured current wave shapes of PF1000 plasma focus discharged at 16 kV in deuterium in the pressure range 1.05 –1.2 Torr are fitted to the computed current wave shapes using the Lee model code. Very good fit is achieved which suggests that the code is configured very well for the PF1000 for these shots. This is borne out by the computed neutron yield arising from each shot agreeing well with the measured yield. The computed average yield of 8 shots at 1.2 Torr is 1.78 ×109 neutrons per,6,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; pulsed_power; electrode_materials; circuit_modeling
52,01-Core-DPF,"J. Plasma Phys. (2021), vol.87, 905870401 © The Author(s), 2021.",,2021,10.1017/S0022377821000672,,,23,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; diagnostics; electrode_materials; turbulence
58,01-Core-DPF,LLNL-JRNL-827704,,2021,,,"A dense plasma focus (DPF) is a relatively compact coaxial plasma gun which completes its discharge as a Z -pinch. These devices are designed to operate at a variety of scales to produce short (<100 ns) pulses of ions, X -rays, and/ or neutrons. LLNL recentl y constructed and brought into operation a new device, the MJOLNIR (MegaJOuLe Neutron Imaging Radiography) DPF, which is designed for radiography and high -yield operations. This device has been commissioned and has achieved neutron",10,experimental; simulation; machine_learning,dense_plasma_focus; plasma_physics; nuclear_fusion; pulsed_power; electrode_materials; circuit_modeling; particle_methods
35,01-Core-DPF,Inference of X-Ray Emission From a Plasma Focus Discharge: Comparison Between Characteristic Parameters and Neural Network Analyses,,2020,,,"Pulsed plasma discharges, such as the plasma focus, are a source of pulsed X rays, therefore it isdesirable to understand the relationship between this fast transient phenomena and the electrical variables ofthe discharge. Parameters from the electrical diagnostic signals are typically used to characterize the plasmafocus discharge and for the correlations with X rays measurements via scatter plots. To further evaluaterelevant information in the electrical signals, besides the characteristic",14,experimental; machine_learning,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; machine_learning; pulsed_power; electrode_materials
49,01-Core-DPF,Unsteady Plasma Flow Near an Oscillating Rigid Plane Plate Under the Influence of an Unsteady Nonlinear External Magnetic Field,,2020,,,"In an irreversible thermodynamics framework, Stokes’ second problem was examined forunsteady oscillating ﬂow. The objective was to apply that for a plasma near an illimitable oscillating rigidplane plate under the inﬂuence of an unsteady nonlinear applied magnetic ﬁeld. The Bhatnagar-Gross-Krook(BGK) pattern of the Boltzmann kinetic equation supplemented by Maxwell’s equations was investigated.The method of moments was applied with a two-sided distribution function. The exact traveling wave",10,,dense_plasma_focus; plasma_physics; nuclear_fusion
34,01-Core-DPF,Hard X-Ray Emission Detection Using Deep Learning Analysis of the Radiated UHF Electromagnetic Signal From a Plasma Focus Discharge,,2019,,,"A method to determine the presence of hard X-ray emission processes from a dense plasmafocus (205 J, 22 kV, 6.5 mbar H2) using Ultra High Frequency (UHF) measurements and deep learningtechniques is presented. Simultaneously, the electromagnetic UHF radiation emitted from the plasmafocus was measured with a Vivaldi UHF antenna, while the hard X-ray emission was measured witha scintillator-photomultiplier system. A classiﬁcation algorithm based on deep learning methods, usingtwo-dimensional c",10,experimental; machine_learning; data_analysis,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; machine_learning; pulsed_power; electrode_materials
32,01-Core-DPF,Evolution of a Pinch Column During the Acceleration of Fast Electrons and Deuterons in a Plasma-Focus Discharge,,2018,10.1109/TPS.2018.2874288I,,,7,experimental,dense_plasma_focus; z_pinch; mhd; plasma_physics; nuclear_fusion; radiation; diagnostics; electrode_materials
48,01-Core-DPF,稠密等离子体焦点二维模拟,SoWise,2018,10.11884/HPLPB202436.240001,,* 收稿日期 ：2024-01-03； 修订日期 ：2024-03-19 基金项目 ：国家自然科学基金项 目(12075226 、12205279) 联系方式 ：欧海彬，3038889531@qq.com 。 通信作者 ：段书超，s.duan@163.com 。 第 36 卷第 7 期 强 激 光 与 粒 子 束 Vol. 36，No. 7 2024 年 7 月 HIGH POWER LASER AND PARTICLE BEAMS Jul.，2024 075001-1不如Mather型装置的电极系统紧凑 ，后者为大多数实验室所采用 [5]。1962年，Hart P J [6]提出雪耙模型解释同轴枪 的放电机理 ，该模型将等离子体电流层近似为一个均匀的薄层 ，包含一个电路方程描述电流随时间的变化 ，和一个 动量方程描述等离子体的轴向运动。后来 ，Lee S[7]将电路方程 、动量方程 、能量方程和辐射方程耦合 ，提出五相 Lee模型，分别对轴向加速 、径向内爆 、激波径向反射 、箍缩和膨胀 这5个过程进行描述 ，被广泛用于设 计Mather 型DP,7,simulation; experimental,dense_plasma_focus; mhd; plasma_physics; electrode_materials
24,01-Core-DPF,Numerical Simulation Study of Plasma Flow in the GAMMA10/PDX End‐cell Using a Fluid Code,VM168,2016,10.1002/ctpp.201610062,,,6,simulation; experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; electrode_materials
28,01-Core-DPF,Open Access proceedings Journal of Physics: Conference series,Graham Douglas,2015,10.1088/1742-6596/591/1/012021,,"The dense plasma focus (DPF), a coaxial plasma gun, utilizes pulsed high current electrical discharge to heat and compress the plasma to very high density and temperature with energy densities in the range of 1 -10×1010 J/m3. The DPF device has always been in the company of several alternative magnetic fusion devices as it produces intense fusion neutrons. Several experiments conducted on many different DPF devices ranging over several order of storage energy have demonstrated that at hig",26,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; pulsed_power; electrode_materials; turbulence
25,01-Core-DPF,zaloga-plazma.indd,b.bursa,2015,10.1515/nuka-2015-0058,,,6,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; electrode_materials
29,01-Core-DPF,Design and characterization of the Magnetized Plasma Interaction Experiment (MAGPIE): a new source for plasma--material interaction studies,B D Blackwell et al,2012,10.1088/0963-0252/21/5/055033,,"The Magnetized Plasma Interaction Experiment (MAGPIE) is a versatile helicon sourceplasma device operating in a magnetic hill conﬁguration designed to support a broad range ofresearch activity and is the ﬁrst stage of the Materials Diagnostic Facility at the AustralianNational University. Various material targets can be introduced to study a range ofplasma–material interaction phenomena.Initially, with up to 2.1 kW of RF at 13.56 MHz, argon (1018–1019m−3) and hydrogen (upto 1019m−3at 20 kW) p",8,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; diagnostics; electrode_materials; turbulence
40,01-Core-DPF,Magnetically Driven Implosions for Inertial Confinement Fusion at Sandia National Laboratories,,2012,10.1109/TPS.2012.2223488national,,,24,experimental; simulation; machine_learning; review,dense_plasma_focus; z_pinch; plasma_physics; nuclear_fusion; radiation; pulsed_power
22,01-Core-DPF,Confinement of Hot Ion Plasma with β = 0.6 in the Gas Dynamic Trap,Lotov,2011,10.13182/FST11-A11568,,"CONFINEMENT OF HOT ION PLASMA WITH ȕ=0.6 IN THE GAS DYNAMIC TRAP P. A. Bagryansky1,2, A. V. Anikeev1,2, A. D. Beklemishev1,2, A. S. Donin1,2, A. A. Ivanov1,2, M. S. Korzhavina2,Yu. V. Kovalenko1,2, E. P. Kruglyakov1, A. A. Lizunov1, V. V. Maximov1,2, S. V. Murakhtin1,2, V. V. Prikhodko1,2,E. I. Pinzhenin2, A. N. Pushkareva2, V. Ya. Savkin1, K. V. Zaytsev21Budker Institute of Nuclear Physics: akademika Lavrentieva prospect/11, Novosibirsk, Russia, 630090 2Novosibirsk State University: Pirogo",6,experimental; simulation,dense_plasma_focus; mhd; plasma_physics; nuclear_fusion; electrode_materials
23,01-Core-DPF,Confinement of Hot Ion Plasma with β = 0.6 in the Gas Dynamic Trap,Lotov,2011,10.13182/FST11-A11568,,"CONFINEMENT OF HOT ION PLASMA WITH ȕ=0.6 IN THE GAS DYNAMIC TRAP P. A. Bagryansky1,2, A. V. Anikeev1,2, A. D. Beklemishev1,2, A. S. Donin1,2, A. A. Ivanov1,2, M. S. Korzhavina2,Yu. V. Kovalenko1,2, E. P. Kruglyakov1, A. A. Lizunov1, V. V. Maximov1,2, S. V. Murakhtin1,2, V. V. Prikhodko1,2,E. I. Pinzhenin2, A. N. Pushkareva2, V. Ya. Savkin1, K. V. Zaytsev21Budker Institute of Nuclear Physics: akademika Lavrentieva prospect/11, Novosibirsk, Russia, 630090 2Novosibirsk State University: Pirogo",6,experimental; simulation,dense_plasma_focus; mhd; plasma_physics; nuclear_fusion; electrode_materials
45,01-Core-DPF,Plasma modelling and numerical simulation.,"J. van Dijk, G.M.W. Kroesen and A. Bogaerts",2009,10.1088/0022-3727/42/19/190301,,"Plasma modelling is an exciting subject in which virtually all physical disciplines arerepresented. Plasma models combine the electromagnetic, statistical and ﬂuid dynamicaltheories that have their roots in the 19th century with the modern insights concerning thestructure of matter that were developed throughout the 20th century.The present cluster issue consists of 20 invited contributions, which are representative ofthe state of the art in plasma modelling and numerical simulation. These con",15,simulation; review; experimental; data_analysis,dense_plasma_focus; plasma_physics; nuclear_fusion
54,01-Core-DPF,Sand2004-5997,,2003,,,"ALEGRA is an arbitrary Lagrangian-Eulerian ﬁnite element code that emphasizeslarge distortion and shock propagation in inviscid ﬂuids and solids. This documentdescribes user options for modeling resistive magnetohydrodynamic, thermal conduc-tion, and radiation emission effects.3AcknowledgmentThe authors wish to acknowledge the contri butions of Kent Budge to early draft versionsof this manual and associated algorithms in th e areas of thermal conduction, emission andopacity modeling.Pave",140,simulation,dense_plasma_focus; mhd
43,01-Core-DPF,TSINGHUA SCIENCE AND TECHNOLOGY,,1999,,,"Although many scientists suggested that the ionized metallic vapor produced in plasma focus plays a significant role in the X ray emission, they did not give a visual image of the metallic vapor. In this paper the evolution of plasma sheath above the anode was recorded with a laser differential interferometer and the metallic vapor produced on the target surface by bombardment of an intense electron beam was observed for the first time. The results can help understanding of the physical proc",3,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; electrode_materials
31,01-Core-DPF,Experimental investigation of the critical ionization velocity in gas mixtures,,1978,,,"The critical ionization velocity which is of cosmogonic and astrophysical interest has hitherto mainly been investigated for pure gases. Since in space we always have gas mixtures, it is of interest also to study gas mixtures. The present report, which is a summary of a more detailed report (Axnfis, 1976), summarizes the results of systematic experiments on the critical ionization velocity as a function of the mixing ratio for binary gas mixtures of H2, He, N2, 02, Ne and Ar. The apparatus",8,experimental,dense_plasma_focus; plasma_physics
30,01-Core-DPF,Direct Measurement of a Plasma Flow Velocity Using a Mach Probe in Hanbit Magnetic Mirror Device,,1963,10.13182/FST03-A11963613,,,4,experimental,dense_plasma_focus; plasma_physics; nuclear_fusion; radiation; diagnostics
