path,title,relevance,subject_class,sha256,page_count,doi,destination,duplicate_of,already_in_kr,error
2026-05-12-user-ingest/Simulation-and-Modeling.pdf,Simulation and Modeling: Current Technologies and Applications,promote_to_kr_method_review,simulation_or_plasma_methods,19015a0d034c44c0890954b08b54be6c730c51c22c2701384ef66f545e24c916,467,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Simulation-and-Modeling.pdf,,,
2026-05-12-user-ingest/Numerical-Simulation-of-Pulsed-Plasma-Thruster.pdf,Yuanzheng Zhao,promote_to_kr_method_review,simulation_or_plasma_methods,498e3385c34e98b951ea21e2148a183375a9ca427b7df609b4966884bd273063,307,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Numerical-Simulation-of-Pulsed-Plasma-Thruster.pdf,,,
2026-05-12-user-ingest/Mathematical-Modeling-and-Simulation-of-Systems.pdf,Mathematical Modeling and Simulation of Systems,promote_to_kr_method_review,simulation_or_plasma_methods,114c5cf6a0e81518443fbf91e809bcc9a2afcadec8fd928adb8a54a5ecbf95d3,341,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Mathematical-Modeling-and-Simulation-of-Systems.pdf,,,
,Mathematical Modeling and Simulation of Systems,promote_to_kr_method_review,simulation_or_plasma_methods,114c5cf6a0e81518443fbf91e809bcc9a2afcadec8fd928adb8a54a5ecbf95d3,341,,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Mathematical-Modeling-and-Simulation-of-Systems.pdf,,
2026-05-12-user-ingest/Monte-Carlo-Simulation-of-Neutral-Particle-Transport.pdf,Monte Carlo Simulation of,promote_to_kr_method_review,simulation_or_plasma_methods,4977d92eca35cc7547f90ed1339bbe7d1f283938d1a1fecdaf623dd3fe8a2f9d,42,10.1016/B978-0-12-819739-4.00018-4,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Monte-Carlo-Simulation-of-Neutral-Particle-Transport.pdf,,,
2026-05-12-user-ingest/Hybrid-Modeling-and-Simulation.pdf,Hybrid Modeling and Simulation,promote_to_kr_method_review,simulation_or_plasma_methods,80f517b3f75e68f03285b3fa1ee9656734e4ab27d11911477f31a0f241e601b0,359,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Hybrid-Modeling-and-Simulation.pdf,,,
,Yuanzheng Zhao,promote_to_kr_method_review,simulation_or_plasma_methods,498e3385c34e98b951ea21e2148a183375a9ca427b7df609b4966884bd273063,307,,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Numerical-Simulation-of-Pulsed-Plasma-Thruster.pdf,,
2026-05-12-user-ingest/Numerical-simulation-of-equilibrium-air-plasma-flow-in-the-induction-chamber-of-a-high-power.pdf,Continuum Mech. Thermodyn. (2023) 35:1689–1701,promote_to_kr_method_review,simulation_or_plasma_methods,54dcbef7c7fbf09387d0e98779ab92a1330badc96483b6245a5aa1bc7f5279f0,13,10.1007/s00161-023-01192-1,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Numerical-simulation-of-equilibrium-air-plasma-flow-in-the-induction-chamber-of-a-high-power.pdf,,,
2026-05-12-user-ingest/The-role-of-Pauli-principle-in-simulations-of-classical-plasma.pdf,RESEARCH ARTICLE | APRIL 21 2026,promote_to_kr_method_review,simulation_or_plasma_methods,ace009c190417e9221b6de283b94f12f64603eeeb96c651e72ddc5576cb6a5f0,10,10.1063/5.0315414,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/The-role-of-Pauli-principle-in-simulations-of-classical-plasma.pdf,,,
2026-05-12-user-ingest/A-Hybrid-Quantum-Classical-Particle-in-Cell-Method-for-Plasma-Simulations.pdf,A hybrid quantum-classical particle-in-cell method for plasma simulations,promote_to_kr_method_review,simulation_or_plasma_methods,31539cff90a1eb3d05071c04b85147ce39fa27add862d2451f724ed8a367f215,9,10.1016/j.future.2025.108087,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/A-Hybrid-Quantum-Classical-Particle-in-Cell-Method-for-Plasma-Simulations.pdf,,,
2026-05-12-user-ingest/timofeev2011.pdf,Full Terms & Conditions of access and use can be found at,stage_for_review_not_physics_evidence,unclassified_review_needed,3f373fce0f8e97df1df5ee8559b7597eff923ac9d696cf3157e537ec8e2357f3,5,10.13182/FST11-A11577,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/timofeev2011.pdf,,,
,Monte Carlo Simulation of,promote_to_kr_method_review,simulation_or_plasma_methods,4977d92eca35cc7547f90ed1339bbe7d1f283938d1a1fecdaf623dd3fe8a2f9d,42,10.1016/B978-0-12-819739-4.00018-4,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Monte-Carlo-Simulation-of-Neutral-Particle-Transport.pdf,,
,Hybrid Modeling and Simulation,promote_to_kr_method_review,simulation_or_plasma_methods,80f517b3f75e68f03285b3fa1ee9656734e4ab27d11911477f31a0f241e601b0,359,,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Hybrid-Modeling-and-Simulation.pdf,,
2026-05-12-user-ingest/baxevanis2018.pdf,Novel fast simulation technique for axisymmetric plasma wakefield acceleration configurations in the blowout regime,promote_to_kr_method_review,simulation_or_plasma_methods,f94cb8145ae08f782223e28a0f3ef78d452370aea3fbf846e6a4b80cab77a262,12,10.1103/PhysRevAccelBeams.21.071301,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/baxevanis2018.pdf,,,
2026-05-12-user-ingest/chen2019.pdf,Plasma Physics and Controlled Fusion,stage_for_review_not_physics_evidence,unclassified_review_needed,1d7b935e7d22f5c03aeaadf6e3920feee055f23c26c0fa4eff842834d7b71fcc,14,10.1088/1361-6587/aaf42d,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/chen2019.pdf,,,
2026-05-12-user-ingest/matsumoto2007.pdf,Relativistic Electron Fluid Simulation and Studies on Electric Shock Wave Formation,promote_to_kr_method_review,simulation_or_plasma_methods,73db548cae2a26fddaf2fc4cb8c5130f151fc45cc38624f8b2ebbdf5224d2179,4,10.1143/JPSJ.76.044502,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/matsumoto2007.pdf,,,
2026-05-12-user-ingest/verboncoeur2005.pdf,Particle simulation of plasmas: review and advances,promote_to_kr_method_review,simulation_or_plasma_methods,6d7355ba514f3e982b200c359ae7f74ecf4d2d87783270c54fac321a82cc4ea1,31,10.1088/0741-3335/47/5A/017,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/verboncoeur2005.pdf,,,
2026-05-12-user-ingest/oh2014.pdf,A comparative study of algorithm for fluid simulation of high density plasma,promote_to_kr_method_review,simulation_or_plasma_methods,4e7e3f20eb388198508ec5bfcd3f27114bb5778e4db9fcadebc30db5786eead1,5,10.1063/1.4864527,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/oh2014.pdf,,,
2026-05-12-user-ingest/Numerical-simulation-of-deuterium-retention-in-tungsten-under-ELM-like-conditions.pdf,Numerical simulation of deuterium retention in tungsten under ELM-like conditions,promote_to_kr_source_review,dpf_plasma_physics,cc615dda480b0633f173ffc837d6ea11f874f95aee57a9ddd773f468e8dcbfcc,15,10.1016/j.jnucmat.2024.155370,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Numerical-simulation-of-deuterium-retention-in-tungsten-under-ELM-like-conditions.pdf,,,
2026-05-12-user-ingest/urano2018.pdf,"Plasma and Fusion Research,ISSN 1880-6821",stage_for_review_not_physics_evidence,unclassified_review_needed,703d0300473befb1d61dc770f0fd87286683c02feee68a1e2c96690531ef2fde,4,10.1585/pfr.13.3403055,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/urano2018.pdf,,,
2026-05-12-user-ingest/bilbao2006.pdf,A Three-Dimensional Finite Volume Arbitrary Lagrangian-,stage_for_review_not_physics_evidence,unclassified_review_needed,f0967271f72fa35b5a12e8c60b02e1d3416763baf83b02859c2edbe4f89ea837,7,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/bilbao2006.pdf,,,
2026-05-12-user-ingest/Large-Language-Models-A-Deep-Dive.pdf,Large Language,stage_for_review_not_physics_evidence,ai_ml_supporting_reference,c14da8038806dedeece9f5a2add5040412c05b11c8532df36865ce2bf6259fc2,496,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Large-Language-Models-A-Deep-Dive.pdf,,,
2026-05-12-user-ingest/A-survey-of-large-language-models-for-cyber-threat-detection.pdf,Computers & Security 145 (2024) 104016,stage_for_review_not_physics_evidence,ai_ml_supporting_reference,79fc2231657018be4876910970eb88d7aee34e65ad771e8153ab2818d5da7f70,20,10.1016/j.cose.2024.104016,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/A-survey-of-large-language-models-for-cyber-threat-detection.pdf,,,
2026-05-12-user-ingest/Gradient-Based-Physics-Informed-Neural-Network.pdf,Gradient-Based Physics-Informed,stage_for_review_not_physics_evidence,ai_ml_supporting_reference,59cc2a09a9c87ba16bfb572692e944937c74dafbcc8a14f60f0a4804d0a7711f,13,10.1007/978-981-19-9379-4_54,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Gradient-Based-Physics-Informed-Neural-Network.pdf,,,
2026-05-12-user-ingest/Poisson-Boltzmann-based-machine-learning-model-for-electrostatic-analysis.pdf,Poisson-Boltzmann-based machine learning model for electrostatic analysis,stage_for_review_not_physics_evidence,ai_ml_supporting_reference,5ef0fd20980ad9e81ea294e562f907f41f82e1b179da8945a49470ad889f087e,8,10.1016/j.bpj.2024.02.008,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Poisson-Boltzmann-based-machine-learning-model-for-electrostatic-analysis.pdf,,,
2026-05-12-user-ingest/Machine-Learning-of-Forced-Convection-Heat-Transfer.pdf,Machine Learning of Forced Convection Heat,stage_for_review_not_physics_evidence,ai_ml_supporting_reference,30396467452f223596159246fee1e7e4a77d48ce0c989f882a5d0b27e2eef7f1,17,10.1007/978-3-032-09153-6_9,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Machine-Learning-of-Forced-Convection-Heat-Transfer.pdf,,,
2026-05-12-user-ingest/Linear-Algebra-for-Physics.pdf,Nikolaos A. Papadopoulos,promote_to_kr_method_review,math_textbook_support,654950f9197ac65925cd42b56b8b900548bce3e106dbd59541ba7bf572ff0fbf,410,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Linear-Algebra-for-Physics.pdf,,,
2026-05-12-user-ingest/Precalculus.pdf,Mehdi Rahmani-Andebili,promote_to_kr_method_review,math_textbook_support,b5dece2048177f4f2b104d2a45d60fbfb04483d395039de12eb71aacb4d67205,119,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Precalculus.pdf,,,
2026-05-12-user-ingest/Mathematics-for-Engineers-and-Scientists.pdf,Vinh Phu Nguyen,promote_to_kr_method_review,math_textbook_support,e8103853250b49e0c68b1c2b023db607cd37db0a924640bc96898e6c214d55d4,1190,,downloaded_books_papers/Research Papers/2026-05-12-user-ingest/Mathematics-for-Engineers-and-Scientists.pdf,,,
