ARTIFACT                                                                                              STATUS  DETAIL
experimental_inverse_calibration_all_inductance_1ns_2026_05_16.json                                   SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_1p6us_2026_05_17.json                             SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_resistance_waveform_1p6us_2026_05_17.json         SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_resistance_waveform_6us_combined_2026_05_17.json  SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_resistance_waveform_6us_ranked_2026_05_17.json    SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_resistance_waveform_r1p5_6us_2026_05_17.json      SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_resistance_waveform_r2_6us_2026_05_17.json        SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_waveform_1p6us_2026_05_17.json                    SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_waveform_6us_2026_05_17.json                      SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_waveform_6us_combined_2026_05_17.json             SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_inductance_waveform_low_6us_2026_05_17.json                  SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_pressure_raw_be_debug_2026_05_17.json                    SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_pressure_unclamped_failure_2026_05_17.json               SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_pressure_waveform_1p6us_2026_05_17.json                  SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_pressure_waveform_6us_packeted_2026_05_17.json           SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_pressure_waveform_6us_single_2026_05_17.json             SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_waveform_2p2us_lowL_tight_screen_2026_05_17.json         SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_waveform_2p6us_lowL_screen_2026_05_17.json               SKIP    not a first-principles artifact
experimental_inverse_calibration_gv_pf24_l_r_waveform_6us_lowL_single_2026_05_17.json                 SKIP    not a first-principles artifact
experimental_inverse_parameters_all_machines_2026_05_16.json                                          SKIP    not a first-principles artifact
experimental_split_continuation_pf1000_probe_2026_05_16.json                                          EXEMPT  exempt: split-continuation probe: exercises segment hand-off only, carries no candidate physics ledger or source-backed manifest
gradient_calibration_pf1000.json                                                                      SKIP    not a first-principles artifact
grid_independence_cvg03.json                                                                          SKIP    not a first-principles artifact
gv_pf24_l0875_r15_p1_experimental_candidate_deck_2026_05_17.json                                      SKIP    not a first-principles artifact
mhd_backend_parity_cross_backend_current_evidence.json                                                SKIP    not a first-principles artifact
mhd_finite_volume_mlx_shock_tubes_evidence.json                                                       SKIP    not a first-principles artifact
mhd_restart_reproducibility_evidence.json                                                             SKIP    not a first-principles artifact
mhd_tier3_numerical_packet.json                                                                       SKIP    not a first-principles artifact
multi_device_calibration.json                                                                         SKIP    not a first-principles artifact

audit: 81 file(s) scanned -- 39 first-principles, 31 skipped, 50 exempt, 0 passed, 0 failed.
audit: PASS -- all first-principles artifacts pass C1-C8.
